datetime;gas_rate_fact;gas_rate_plan;gas_rate_v1;gas_rate_v2;gas_rate_v3;
2025-03-10 13:40:00;35595.8503750651;35595.8503750651;;;;
2025-03-10 13:50:00;35588.8541394568;35588.8541394568;;;;
2025-03-10 14:00:00;36818.2185516116;36818.2185516116;;;;
2025-03-10 14:10:00;35528.6473030542;35528.6473030542;;;;
2025-03-10 14:20:00;37628.8607332812;37628.8607332812;;;;
2025-03-10 14:30:00;35889.2796146443;35889.2796146443;;;;
2025-03-10 14:40:00;35463.8184951151;35463.8184951151;;;;
2025-03-10 14:50:00;35874.664229575;35874.664229575;;;;
2025-03-10 15:00:00;36202.2305689336;36202.2305689336;;;;
2025-03-10 15:10:00;36410.9934499342;36410.9934499342;;;;
2025-03-10 15:20:00;33847.7070098038;33847.7070098038;;;;
2025-03-10 15:30:00;36247.036427151;36247.036427151;;;;
2025-03-10 15:40:00;33333.0841788246;33333.0841788246;;;;
2025-03-10 15:50:00;33920.7780719229;33920.7780719229;;;;
2025-03-10 16:00:00;36015.8930195607;36015.8930195607;;;;
2025-03-10 16:10:00;31992.8097924066;31992.8097924066;;;;
2025-03-10 16:20:00;30890.8082355203;30890.8082355203;;;;
2025-03-10 16:30:00;32083.3723206364;32083.3723206364;;;;
2025-03-10 16:40:00;29610.1857649981;29610.1857649981;;;;
2025-03-10 16:50:00;29630.5039803004;29630.5039803004;;;;
2025-03-10 17:00:00;31014.3554266133;31014.3554266133;;;;
2025-03-10 17:10:00;30065.6194157323;30065.6194157323;;;;
2025-03-10 17:20:00;29226.4588922013;29226.4588922013;;;;
2025-03-10 17:30:00;29556.7610087013;29556.7610087013;;;;
2025-03-10 17:40:00;29867.1385954621;29867.1385954621;;;;
2025-03-10 17:50:00;29096.4344687206;29096.4344687206;;;;
2025-03-10 18:00:00;27468.9911067687;27468.9911067687;;;;
2025-03-10 18:10:00;27652.3005806739;27652.3005806739;;;;
2025-03-10 18:20:00;29247.3330541038;29247.3330541038;;;;
2025-03-10 18:30:00;29300.2392821059;29300.2392821059;;;;
2025-03-10 18:40:00;29281.6500300542;29281.6500300542;;;;
2025-03-10 18:50:00;28760.1274396013;28760.1274396013;;;;
2025-03-10 19:00:00;28243.7862438448;28243.7862438448;;;;
2025-03-10 19:10:00;28077.7053747035;28077.7053747035;;;;
2025-03-10 19:20:00;27973.6696276377;27973.6696276377;;;;
2025-03-10 19:30:00;27845.80656862;27845.80656862;;;;
2025-03-10 19:40:00;26538.7541749625;26538.7541749625;;;;
2025-03-10 19:50:00;26611.8587555301;26611.8587555301;;;;
2025-03-10 20:00:00;26562.8632721252;26562.8632721252;;;;
2025-03-10 20:10:00;25027.1037449645;25027.1037449645;;;;
2025-03-10 20:20:00;24408.2350599153;24408.2350599153;;;;
2025-03-10 20:30:00;23865.7364596861;23865.7364596861;;;;
2025-03-10 20:40:00;24914.0454975356;24914.0454975356;;;;
2025-03-10 20:50:00;24740.0448776056;24740.0448776056;;;;
2025-03-10 21:00:00;24840.7602761794;24840.7602761794;;;;
2025-03-10 21:10:00;24917.6589799085;24917.6589799085;;;;
2025-03-10 21:20:00;24638.2581470557;24638.2581470557;;;;
2025-03-10 21:30:00;24948.0583912592;24948.0583912592;;;;
2025-03-10 21:40:00;25131.6023645559;25131.6023645559;;;;
2025-03-10 21:50:00;25003.3418011132;25003.3418011132;;;;
2025-03-10 22:00:00;25003.4958627809;25003.4958627809;;;;
2025-03-10 22:10:00;25038.2516443869;25038.2516443869;;;;
2025-03-10 22:20:00;24977.1131038203;24977.1131038203;;;;
2025-03-10 22:30:00;25080.2764148494;25080.2764148494;;;;
2025-03-10 22:40:00;25357.8454153319;25357.8454153319;;;;
2025-03-10 22:50:00;25037.4362707113;25037.4362707113;;;;
2025-03-10 23:00:00;24608.5615117814;24608.5615117814;;;;
2025-03-10 23:10:00;24285.0633150995;24285.0633150995;;;;
2025-03-10 23:20:00;23250.2864338262;23250.2864338262;;;;
2025-03-10 23:30:00;23335.2286969807;23335.2286969807;;;;
2025-03-10 23:40:00;23286.6280912086;23286.6280912086;;;;
2025-03-10 23:50:00;23492.977868616;23492.977868616;;;;
2025-03-11 00:00:00;23044.9207237069;23044.9207237069;;;;
2025-03-11 00:10:00;23335.6465316019;23335.6465316019;;;;
2025-03-11 00:20:00;23184.5522576771;23184.5522576771;;;;
2025-03-11 00:30:00;23147.3816761862;23147.3816761862;;;;
2025-03-11 00:40:00;23296.0425534476;23296.0425534476;;;;
2025-03-11 00:50:00;23339.8110380657;23339.8110380657;;;;
2025-03-11 01:00:00;23485.5891429363;23485.5891429363;;;;
2025-03-11 01:10:00;23659.5976365139;23659.5976365139;;;;
2025-03-11 01:20:00;23551.1770326067;23551.1770326067;;;;
2025-03-11 01:30:00;23659.27905308;23659.27905308;;;;
2025-03-11 01:40:00;23391.0155150436;23391.0155150436;;;;
2025-03-11 01:50:00;23309.5434370253;23309.5434370253;;;;
2025-03-11 02:00:00;23537.0978104966;23537.0978104966;;;;
2025-03-11 02:10:00;23536.1339665655;23536.1339665655;;;;
2025-03-11 02:20:00;22500.2839826748;22500.2839826748;;;;
2025-03-11 02:30:00;22716.6571536735;22716.6571536735;;;;
2025-03-11 02:40:00;22015.8913819305;22015.8913819305;;;;
2025-03-11 02:50:00;22081.138844643;22081.138844643;;;;
2025-03-11 03:00:00;21954.2507529509;21954.2507529509;;;;
2025-03-11 03:10:00;22208.7976704661;22208.7976704661;;;;
2025-03-11 03:20:00;22147.9886383615;22147.9886383615;;;;
2025-03-11 03:30:00;21051.0169237067;21051.0169237067;;;;
2025-03-11 03:40:00;19751.8609351339;19751.8609351339;;;;
2025-03-11 03:50:00;19439.5622816909;19439.5622816909;;;;
2025-03-11 04:00:00;19659.0995101903;19659.0995101903;;;;
2025-03-11 04:10:00;19093.1040134169;19093.1040134169;;;;
2025-03-11 04:20:00;19347.6001638921;19347.6001638921;;;;
2025-03-11 04:30:00;21079.2134833729;21079.2134833729;;;;
2025-03-11 04:40:00;21651.1864945312;21651.1864945312;;;;
2025-03-11 04:50:00;20903.8422893334;20903.8422893334;;;;
2025-03-11 05:00:00;20778.1083956362;20778.1083956362;;;;
2025-03-11 05:10:00;20228.4745013045;20228.4745013045;;;;
2025-03-11 05:20:00;20268.6192679562;20268.6192679562;;;;
2025-03-11 05:30:00;20241.4903127282;20241.4903127282;;;;
2025-03-11 05:40:00;20029.1544284249;20029.1544284249;;;;
2025-03-11 05:50:00;20585.8646697969;20585.8646697969;;;;
2025-03-11 06:00:00;20599.4768775905;20599.4768775905;;;;
2025-03-11 06:10:00;20983.782754691;20983.782754691;;;;
2025-03-11 06:20:00;20872.1547675728;20872.1547675728;;;;
2025-03-11 06:30:00;20987.4935332065;20987.4935332065;;;;
2025-03-11 06:40:00;21121.5235047911;21121.5235047911;;;;
2025-03-11 06:50:00;20794.1733623433;20794.1733623433;;;;
2025-03-11 07:00:00;21130.362273398;21130.362273398;;;;
2025-03-11 07:10:00;21917.5810119895;21917.5810119895;;;;
2025-03-11 07:20:00;20253.2847853264;20253.2847853264;;;;
2025-03-11 07:30:00;20683.5928483288;20683.5928483288;;;;
2025-03-11 07:40:00;21225.0422831093;21225.0422831093;;;;
2025-03-11 07:50:00;20855.2472993186;20855.2472993186;;;;
2025-03-11 08:00:00;19909.6221110806;19909.6221110806;;;;
2025-03-11 08:10:00;21034.5071911844;21034.5071911844;;;;
2025-03-11 08:20:00;21223.6099855266;21223.6099855266;;;;
2025-03-11 08:30:00;17496.5456993214;17496.5456993214;;;;
2025-03-11 08:40:00;0,00;0,00;0,00;0;0,00;
2025-03-11 08:50:00;0,00;0,00;0,00;0;0,00;
2025-03-11 09:00:00;0,00;0,00;0,00;0;0,00;
2025-03-11 09:10:00;0,00;0,00;0,00;0;0,00;
2025-03-11 09:20:00;0,00;0,00;0,00;0;0,00;
2025-03-11 09:30:00;0,00;0,00;0,00;0;0,00;
2025-03-11 09:40:00;0,00;0,00;0,00;0;0,00;
2025-03-11 09:50:00;0,00;0,00;0,00;0;0,00;
2025-03-11 10:00:00;0,00;0,00;0,00;0;0,00;
2025-03-11 10:10:00;0,00;0,00;0,00;0;0,00;
2025-03-11 10:30:00;0,00;0,00;0,00;0;0,00;
2025-03-11 10:40:00;0,00;0,00;0,00;0;0,00;
2025-03-11 10:50:00;0,00;0,00;0,00;0;0,00;
2025-03-11 11:00:00;0,00;0,00;0,00;0;0,00;
2025-03-11 11:10:00;0,00;0,00;0,00;0;0,00;
2025-03-11 11:20:00;0,00;0,00;0,00;0;0,00;
2025-03-11 11:30:00;0,00;0,00;0,00;0;72370.532819204;
2025-03-11 11:40:00;0,00;0,00;0,00;0;72634.8847337962;
2025-03-11 11:50:00;0,00;0,00;0,00;0;72883.2224400166;
2025-03-11 12:00:00;0,00;0,00;0,00;0;73115.8624356408;
2025-03-11 12:10:00;0,00;0,00;0,00;0;73333.1183821325;
2025-03-11 12:20:00;0,00;0,00;0,00;0;73535.3011046435;
2025-03-11 12:30:00;0,00;0,00;0,00;0;73722.7185920135;
2025-03-11 12:40:00;0,00;0,00;0,00;0;73895.6759967704;
2025-03-11 12:50:00;0,00;0,00;0,00;0;74054.47563513;
2025-03-11 13:00:00;0,00;0,00;0,00;0;74199.4169869963;
2025-03-11 13:10:00;0,00;0,00;0,00;0;74330.7966959612;
2025-03-11 13:20:00;0,00;0,00;0,00;0;74448.9085693047;
2025-03-11 13:30:00;0,00;0,00;0,00;0;74554.0435779949;
2025-03-11 13:40:00;0,00;0,00;0,00;0;74646.489856688;
2025-03-11 13:50:00;0,00;0,00;0,00;0;74726.532703728;
2025-03-11 14:00:00;0,00;0,00;0,00;0;74794.4545811472;
2025-03-11 14:10:00;0,00;0,00;0,00;0;74850.5351146659;74316.25945
2025-03-11 14:30:00;30634.9654453318;30634.9654453318;65645.1269127392;0;74895.0510936923;73486.19993
2025-03-11 14:40:00;51099.2725968989;51099.2725968989;66185.6004766916;0;74928.2764713227;73858.31049
2025-03-11 14:50:00;68642.5814251754;68642.5814251754;66702.4672493272;0;74950.4823643416;73482.74998
2025-03-11 15:00:00;72157.8419773994;72157.8419773994;67196.2901293392;0;74961.9370532215;73424.89935
2025-03-11 15:10:00;70073.7724261679;70073.7724261679;67667.6262162191;0;74962.9059821227;75136.81358
2025-03-11 15:20:00;71172.5284027685;71172.5284027685;68117.026810257;0;74953.6517588939;72978.70016
2025-03-11 15:30:00;72336.8124955505;72336.8124955505;68545.0374125414;0;74934.4341550716;75927.47475
2025-03-11 15:40:00;75181.4273529206;75181.4273529206;68952.1977249593;0;74905.5101058804;76360.99483
2025-03-11 15:50:00;74919.009087574;74919.009087574;69339.0416501964;0;74867.1337102331;73843.39852
2025-03-11 16:00:00;75213.0857211173;75213.0857211173;69706.0972917367;0;74819.5562307304;75415.28055
2025-03-11 16:10:00;75201.535103552;75201.535103552;70053.8869538626;0;74763.0260936609;74619.02464
2025-03-11 16:20:00;74510.3715846922;74510.3715846922;70382.9271416553;0;74697.7888890017;74150.68981
2025-03-11 16:30:00;75771.3582230724;75771.3582230724;70693.7285609943;0;74624.0873704174;73055.32951
2025-03-11 16:40:00;75487.0068900658;75487.0068900658;70986.7961185575;0;74542.1614552611;74453.36296
2025-03-11 16:50:00;73836.9566097131;73836.9566097131;71262.6289218216;0;74452.2482245736;71965.83041
2025-03-11 17:00:00;75283.7499663434;75283.7499663434;71521.7202790615;0;74354.581923084;72873.08995
2025-03-11 17:10:00;74457.4529876937;74457.4529876937;71764.5576993507;0;74249.3939592094;74744.26786
2025-03-11 17:20:00;73530.486264939;73530.486264939;71991.6228925613;0;74136.9129050549;72746.61686
2025-03-11 17:30:00;75564.3004903403;75564.3004903403;72203.3917693637;0;74017.3644964135;73752.69673
2025-03-11 17:40:00;73902.688601894;73902.688601894;72400.334441227;0;73890.9716327666;72849.89309
2025-03-11 17:50:00;75623.4286334449;75623.4286334449;72582.9152204186;0;73757.9543772833;72938.25691
2025-03-11 18:00:00;75584.4444873012;75584.4444873012;72751.5926200045;0;73618.529956821;73833.67911
2025-03-11 18:10:00;75411.9594304978;75411.9594304978;72906.8193538492;0;73472.9127619249;74515.99611
2025-03-11 18:20:00;75187.4329879735;75187.4329879735;73049.0423366157;0;73321.3143468285;73411.56172
2025-03-11 18:30:00;74462.6910254;74462.6910254;73178.7026837654;0;73163.9434294532;72724.87367
2025-03-11 18:40:00;74671.0503242982;74671.0503242982;73296.2357115583;0;73001.0058914085;74383.31839
2025-03-11 18:50:00;74410.2947409988;74410.2947409988;73402.0709370529;0;72832.7047779918;73608.84772
2025-03-11 19:00:00;74764.6584709644;74764.6584709644;73496.6320781062;0;72659.2402981889;75684.74635
2025-03-11 19:10:00;74269.7116229407;74269.7116229407;73580.3370533735;0;72480.8098246733;73473.97486
2025-03-11 19:20:00;74438.6343532632;74438.6343532632;73653.5979823089;0;72297.6078938066;73848.15743
2025-03-11 19:30:00;73694.4394011098;73694.4394011098;73716.8211851647;0;72109.8262056386;73450.19703
2025-03-11 19:40:00;75099.8686444379;75099.8686444379;73770.407182992;0;71917.6536239071;73461.8494
2025-03-11 19:50:00;73852.9329125768;73852.9329125768;73814.7506976401;0;71721.2761760379;74315.8357
2025-03-11 20:00:00;73611.1723013314;73611.1723013314;73850.240651757;0;71520.8770531448;75985.95752
2025-03-11 20:10:00;73224.1591596083;73224.1591596083;73877.2601687891;0;71316.6366100297;72831.39883
2025-03-11 20:20:00;72086.8310339919;72086.8310339919;73896.1865729813;0;71108.7323651826;73482.7932
2025-03-11 20:30:00;71894.0674568052;71894.0674568052;73907.3913893771;73023.1150162098;70897.3390007815;73367.29063
2025-03-11 20:40:00;73330.4452209075;73330.4452209075;73911.2403438184;73168.0329486191;70682.6283626924;74016.01536
2025-03-11 20:50:00;73073.1949821229;73073.1949821229;73908.0933629454;73302.7386258253;70464.7694604695;71619.7343
2025-03-11 21:00:00;73702.306354074;73702.306354074;73898.3045741973;73427.5146564306;70243.9284673548;72866.91406
2025-03-11 21:10:00;73512.8977191758;73512.8977191758;73882.2223058113;73542.6405090575;70020.2687202786;74463.86492
2025-03-11 21:20:00;71710.3267448612;71710.3267448612;73860.1890868233;73648.3925123492;69793.9507198591;74614.9978
2025-03-11 21:30:00;72370.44312525;72370.44312525;73832.5416470678;73745.0438549691;69565.1321304026;74029.25399
2025-03-11 21:40:00;71917.4870712421;71917.4870712421;73799.6109171776;73832.8645856014;69333.9677799034;72489.53557
2025-03-11 21:50:00;72099.2317552045;72099.2317552045;73761.7220285841;73912.1216129505;69100.6096600439;73328.52988
2025-03-11 22:00:00;71658.3561143841;71658.3561143841;73719.1943135172;73983.0787057413;68865.2069261945;72511.40357
2025-03-11 22:10:00;69844.6017333519;69844.6017333519;73672.3413050052;74045.9964927194;68627.9058974137;73014.45183
2025-03-11 22:20:00;70961.7265407571;70961.7265407571;73621.470736875;74101.1324626507;68388.850056448;72159.46929
2025-03-11 22:30:00;71058.3569753879;71058.3569753879;73566.8845437519;74148.7409643215;68148.180049732;74029.8444
2025-03-11 22:40:00;69413.9319487076;69413.9319487076;73508.8788610599;74189.0732065388;67906.0336873882;73070.16496
2025-03-11 22:50:00;71151.7914795007;71151.7914795007;73447.7440250212;74222.3772581299;67662.5459432275;71514.45957
2025-03-11 23:00:00;71159.1418194164;71159.1418194164;73383.7645726567;74248.8980479427;67417.8489547483;72319.14778
2025-03-11 23:10:00;71059.4628872925;71059.4628872925;73317.2192417858;74268.8773648454;67172.0720231377;69347.60548
2025-03-11 23:20:00;69491.7497838277;69491.7497838277;73248.3809710262;74282.5538577268;66925.3416132702;71082.49903
2025-03-11 23:30:00;69165.9877549938;69165.9877549938;73177.5168997943;74290.1630354962;66677.7813537088;72011.37597
2025-03-11 23:40:00;69172.3114218422;69172.3114218422;73104.888368305;74291.9372670833;66429.5120367044;69678.73697
2025-03-11 23:50:00;69980.2845927892;69980.2845927892;73030.7509175716;74288.1057814384;66180.6516181959;71707.13488
2025-03-12 00:00:00;69011.0989478479;69011.0989478479;72955.3542894058;74278.8946675321;65931.3152178103;70697.50184
2025-03-12 00:10:00;70657.2378675376;70657.2378675376;72878.9424264179;74264.5268743556;65681.6151188627;71026.93907
2025-03-12 00:20:00;71300.1532435248;71300.1532435248;72801.7534720169;74245.2222109205;65431.6607683561;71435.80213
